session,eval
S1,3
S2,3.44
S3,4.22
S4,5
S5,4.76
S6,4.53
S1,3.98
S2,3.39
S3,4.7
S4,4
S5,4.6
S6,4.8
S1,4.2
S2,4.1
S3,4.34
S4,3.9
S5,4.62
S6,4.7
S1,4.5
S2,4.26
S3,4.47
S4,5
S5,4.73
S6,4.74
S1,3
S2,3.19
S3,4.33
S4,4.2
S5,4.9
S6,4.63
S1,4
S2,4.49
S3,4.2
S4,4
S5,4.72
S6,5
S1,4
S2,4.1
S3,4.23
S4,5
S5,4.72
S6,4.78
S1,4
S2,4.2
S3,4.6
S4,3.9
S5,5
S6,4.72
S1,3.2
S2,4.41
S3,4.5
S4,4
S5,4.61
S6,4.73
S1,4
S2,4.7
S3,4.34
S4,4.8
S5,4.59
S6,4.82
S1,3
S2,4.42
S3,4.5
S4,4
S5,4.9
S6,5
S1,3
S2,3.49
S3,4.2
S4,5
S5,5
S6,4.69
S1,3.7
S2,4
S3,4.49
S4,4
S5,4.75
S6,4.54
S1,3
S2,3.8
S3,4.35
S4,4
S5,4.53
S6,4.63
S1,3.4
S2,4.9
S3,4.6
S4,5
S5,4.99
S6,5
S1,3
S2,4.48
S3,4.3
S4,4.3
S5,5
S6,4.57
S1,4
S2,4.46
S3,4.48
S4,4
S5,4.84
S6,4.65
S1,3
S2,4.6
S3,4.2
S4,5
S5,5
S6,4.51
S1,3
S2,4.23
S3,4.42
S4,4.8
S5,4.75
S6,5
S1,3.2
S2,4.48
S3,4.44
S4,5
S5,4.62
S6,5
S1,4.1
S2,3.8
S3,4.2
S4,5
S5,5
S6,5
S1,3
S2,3.95
S3,4.3
S4,4.41
S5,4.53
S6,5
