assistant,performance
Human,9
Human,7.33
Human,10.33
Human,8.67
Human,13.33
Human,15.67
Human,13.67
Human,15.17
Human,12.5
Human,12
Human,9.67
Human,9.17
Human,15.33
Human,18
Human,13
Human,12.67
Human,10.83
Human,10.83
Human,7.67
Human,7.83
Human,11.33
Human,10.17
GOAL Simulator,11.0666667
GOAL Simulator,9.5
GOAL Simulator,13.0333333
GOAL Simulator,10.9333333
GOAL Simulator,13.8166667
GOAL Simulator,14.9666667
GOAL Simulator,13.1833333
GOAL Simulator,13.95
GOAL Simulator,13.4166667
GOAL Simulator,11.5666667
GOAL Simulator,13
GOAL Simulator,11.6333333
GOAL Simulator,11.2
GOAL Simulator,15.2916667
GOAL Simulator,9.5
GOAL Simulator,14.5
GOAL Simulator,11
GOAL Simulator,7.5
GOAL Simulator,7.8
GOAL Simulator,7.4
GOAL Simulator,6.5
GOAL Simulator,6.4
Robot,8.67
Robot,6.5
Robot,6.5
Robot,6.33
Robot,7.5
Robot,7.67
Robot,9.83
Robot,11
Robot,14.67
Robot,11
Robot,9.2
Robot,12
Robot,16.33
Robot,17.33
Robot,8.5
Robot,12.33
Robot,9.5
Robot,6.67
Robot,8
Robot,7.33
Robot,6.67
Robot,6.33
Robot,7
